"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-45.4533241511821,-409.079917360639,-1891.44012317942,-14.5880018364302,465.116279069767,0.238193253760537,-1,108,9,0,0,0,-79,0,-44,44,0,-0.111111111111111,1.9,0,-0.2,0,0,-1.17777777777778,0,-0.688888888888889,0.688888888888889,1,-0.349304364871648,27.624871406138,2.14373928384483,-0.2,0,0,-19.9950448248602,0,-11.1693920543525,11.1693920543525,1,9,0.318092535579791
-60.9499935031949,-365.699961019169,-972.120045217764,-31.2559987006391,465.116279069768,0.446303193215134,-1,40,6,0,0,1,-29,0,-18,18,0,-0.233333333333333,-0.766666666666666,0.4,-0.2,0,0.233333333333333,0.833333333333332,0,0,0,1,-0.679636526548467,17.0854610619387,3.0778191592908,-0.2,0,0.679636526548467,-12.1094592699056,0,-8.03345747787241,8.03345747787241,1,6,0.245229119030849
-59.027995634147,-295.139978170735,-632.040024947731,-69.8847986278747,465.116279069768,0.625326664200702,-1,18,5,2,0,1,-16,0,-10,10,0,-0.42,-2.54,1.1,0.64,0,0.42,0.879999999999999,0,0,0,1,-1.0453266642007,8.71587995561263,4.22663332100351,1.8906533284014,0,1.0453266642007,-9.12522662721123,0,-6.25326664200702,6.25326664200702,1,5,0.191327751266087
-52.7828497921862,-369.479948545304,-1245.42007016549,-5.61123025348436,465.116279069768,0.368955872660076,-1,62,7,0,0,0,-45,0,-26,26,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.530494334198537,22.7906487203093,2.71346033938976,-0.2,0,0,-16.2722450389342,0,-9.59285268916197,9.59285268916197,1,7,0.269290609998633
-44.0666571380192,-396.599914242173,-1946.34012941636,-20.6880025294228,465.116279069767,0.228340499085129,-1,114,9,0,0,0,-83,0,-46,46,0,-0.111111111111111,2.56666666666667,0,-0.2,0,0,-1.62222222222222,0,-0.911111111111111,0.911111111111111,1,-0.33945161019624,28.5974835623713,2.05506449176616,-0.2,0,0,-20.5744836462879,0,-11.414774069027,11.414774069027,1,9,0.327325332311362
-41.0159897090607,-410.159897090607,-2296.80015904179,-34.1080040540062,465.116279069767,0.187655975779615,-1,140,10,0,0,0,-102,0,-56,56,0,-0.1,3.9,0,-0.2,0,0,-2.6,0,-1.4,1.4,1,-0.287655975779615,30.1718366091461,1.87655975779615,-0.2,0,0,-21.7409095295207,0,-11.9087346436584,11.9087346436584,1,10,0.347637485120817
-50.9999922038339,-356.999945426837,-1300.32007640243,0.524000389808325,467.426245093203,0.359873121991379,-1,68,7,0,0,0,-49,0,-28,28,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.509873121991379,24.5713722954138,2.56911185393965,-0.2,0,0,-17.3837829775776,0,-10.0764474157586,10.0764474157586,1,7,0.280181748547943
-46.3199910344089,-370.559928275272,-1650.78010602786,-10.7755014033099,465.116279069767,0.275227921639849,-1,94,8,0,0,0,-68,0,-38,38,0,-0.125,1.65,0,-0.2,0,0,-0.900000000000002,0,-0.550000000000001,0.550000000000001,1,-0.400227921639849,27.5214246341458,2.20182337311879,-0.2,0,0,-19.6154986715097,0,-11.0086610223143,11.0086610223143,1,8,0.31232203762256
-42.6799901248563,-384.119911123706,-2001.24013565329,-26.7880032224153,465.116279069768,0.219028325505906,-1,120,9,0,0,0,-87,0,-48,48,0,-0.111111111111111,3.23333333333333,0,-0.2,0,0,-2.06666666666667,0,-1.13333333333333,1.13333333333333,1,-0.330139436617017,29.5167323940421,1.97125492955315,-0.2,0,0,-21.1221309856805,0,-11.6466929576168,11.6466929576168,1,9,0.336558129042933
-49.2171346154815,-344.519942308371,-1355.22008263936,1.96914290169237,473.796908486586,0.351061836732598,-1,74,7,0,0,0,-53,0,-30,30,0,-0.142857142857143,0.471428571428573,0,-0.2,0,0,0.0285714285714267,0,-0.0857142857142863,0.0857142857142863,1,-0.493918979589741,26.4500044896408,2.45743285712819,-0.2,0,0,-18.5777059182563,0,-10.6175693876922,10.6175693876922,1,7,0.289231936330535
-44.7599906446006,-358.079925156805,-1705.68011226479,-17.6380021829265,465.116279069766,0.262345954361091,-1,100,8,0,0,0,-72,0,-40,40,0,-0.125,2.4,0,-0.2,0,0,-1.4,0,-0.800000000000001,0.800000000000001,1,-0.387345954361091,28.6345954361091,2.09876763488873,-0.2,0,0,-20.2889087139986,0,-11.2938381744437,11.2938381744437,1,8,0.322708933945577
-45.3272635136219,-498.59989864984,-2317.86015124562,-15.142547353975,465.116279069766,0.194133253239621,-1,131,11,0,0,0,-97,0,-54,54,0,-0.0909090909090909,1.80909090909091,0,-0.2,0,0,-1.21818181818182,0,-0.70909090909091,0.70909090909091,1,-0.285042344148712,27.2405470834813,2.13546578563583,-0.2,0,0,-20.0491073824251,0,-11.1922865840304,11.1922865840304,1,11,0.318931880737207
-58.1249922038339,-464.999937630671,-1475.70007796166,-11.02599906446,465.116279069767,0.307711767985082,-1,67,8,0,0,2,-50,0,-30,30,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,-0.447711767985082,19.8966884550005,2.58169414388066,-0.2,0,0.895423535970165,-14.7855883992541,0,-9.23135303955247,9.23135303955247,1,8,0.279197485834603
-50.9999922038339,-458.999929834505,-1671.84009823169,0.524000389808268,467.426245093199,0.279901317104405,-1,85,9,0,0,0,-63,0,-36,36,0,-0.116666666666667,-0.183333333333333,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.396567983771072,23.6082786205411,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,9,0.280181748547943
-50.9999922038339,-305.999953223003,-1114.56006548779,0.524000389808297,467.426245093201,0.419851975656608,-1,60,6,0,0,0,-42,0,-24,24,0,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.594851975656608,25.5911185393965,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,6,0.280181748547943
-47.255991268294,-472.55991268294,-2022.30012785712,-6.65800093553995,465.116279069768,0.226701403920703,-1,111,10,0,0,0,-82,0,-46,46,0,-0.1,1,0,-0.2,0,0,-0.600000000000003,0,-0.400000000000001,0.400000000000001,1,-0.326701403920703,26.1638558351981,2.26701403920703,-0.2,0,0,-19.1895151214977,0,-10.8282645803524,10.8282645803524,1,10,0.30608989982875
-54.1199929834505,-432.959943867604,-1376.2800748432,-10.8699993763068,465.116279069767,0.330053662765709,-1,65,8,0,0,0,-48,0,-28,28,0,-0.15,-0.349999999999999,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,-0.480053662765709,21.1034880797711,2.84042930212567,-0.2,0,0,-15.442575812754,0,-9.24150255743984,9.24150255743984,1,8,0.260387556007476
-49.6133251906709,-446.519926716038,-1726.74010446863,3.71200024254732,481.479996742564,0.280987275230063,-1,91,9,0,0,0,-67,0,-38,38,0,-0.111111111111111,0.0111111111111137,0,-0.2,0,0,0.155555555555553,0,-0.022222222222223,0.022222222222223,1,-0.392098386341174,25.5809531570468,2.52888547707056,-0.2,0,0,-18.6705918848586,0,-10.6997386809646,10.6997386809646,1,9,0.283375588836091
-46.0079909564473,-460.079909564473,-2077.20013409405,-12.1480015592332,465.116279069769,0.218066747674312,-1,117,10,0,0,0,-86,0,-48,48,0,-0.1,1.6,0,-0.2,0,0,-1,0,-0.600000000000001,0.600000000000001,1,-0.318066747674312,27.1138094778945,2.18066747674312,-0.2,0,0,-19.7537402999908,0,-11.067203888367,11.067203888367,1,10,0.314399416887163
-48.226658177508,-434.039923597572,-1781.64011070555,-2.3880004504452,465.116279069769,0.259720397985469,-1,97,9,0,0,0,-71,0,-40,40,0,-0.111111111111111,0.677777777777781,0,-0.2,0,0,-0.288888888888892,0,-0.244444444444445,0.244444444444445,1,-0.37083150909658,25.8706563823683,2.33748358186922,-0.2,0,0,-18.7290371458572,0,-10.6332603638632,10.6332603638632,1,9,0.29962694211665
-44.7599906446006,-447.599906446006,-2132.10014033099,-17.6380021829265,465.116279069768,0.209876763488873,-1,123,10,0,0,0,-90,0,-50,50,0,-0.1,2.2,0,-0.2,0,0,-1.4,0,-0.800000000000001,0.800000000000001,1,-0.309876763488873,28.0148419091314,2.09876763488873,-0.2,0,0,-20.2889087139986,0,-11.2938381744437,11.2938381744437,1,10,0.322708933945577
-50.9999922038339,-407.999937630671,-1486.08008731706,0.524000389808268,467.426245093201,0.314888981742456,-1,77,8,0,0,0,-56,0,-32,32,0,-0.13125,0.00625000000000042,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.446138981742456,24.2527015941691,2.56911185393964,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,8,0.280181748547943
-46.839991164345,-421.559920479105,-1836.54011694249,-8.48800114343775,465.116279069766,0.248635068580225,-1,103,9,0,0,0,-75,0,-42,42,0,-0.111111111111111,1.34444444444444,0,-0.2,0,0,-0.733333333333334,0,-0.466666666666667,0.466666666666667,1,-0.359746179691336,26.9538565082076,2.23771561722202,-0.2,0,0,-19.3809634768502,0,-10.9093395470361,10.9093395470361,1,9,0.308859738848221
-43.511990332754,-435.11990332754,-2187.00014656792,-23.1280028066197,465.116279069768,0.202097963713795,-1,129,10,0,0,0,-94,0,-52,52,0,-0.1,2.8,0,-0.2,0,0,-1.8,0,-1,1,1,-0.302097963713795,28.8706373190795,2.02097963713795,-0.2,0,0,-20.7972085890967,0,-11.5090941131173,11.5090941131173,1,10,0.33101845100399
-40.7890805614522,-448.679886175975,-2537.46017619336,-35.1061859855869,465.116279069766,0.169464765247773,-1,155,11,0,0,0,-113,0,-62,62,0,-0.0909090909090909,3.99090909090909,0,-0.2,0,0,-2.67272727272728,0,-1.43636363636364,1.43636363636364,1,-0.260373856156864,30.2579477043139,1.86411241772551,-0.2,0,0,-21.8222457457257,0,-11.9431790817256,11.9431790817256,1,11,0.349148306404165
-46.6574920089297,-373.259936071438,-1518.72009511322,5.73199996101913,490.38481973081,0.326667712693195,-1,82,8,1,0,0,-61,0,-34,34,0,-0.125,0.150000000000002,0,-0.075,0,0,-0.0250000000000021,0,-0.0500000000000007,0.0500000000000007,1,-0.451667712693195,26.936752440842,2.61334170154556,0.251667712693195,0,0,-19.9517304742849,0,-11.1567022315686,11.1567022315686,1,8,0.276752126590259
-42.9799909910969,-386.819918919872,-1869.18012473866,-12.1146686763451,465.116279069767,0.242353106796896,-1,108,9,1,0,0,-80,0,-44,44,0,-0.111111111111111,1.9,0,-0.0888888888888889,0,0,-1.28888888888889,0,-0.688888888888889,0.688888888888889,1,-0.353464217908007,28.0741355340648,2.18117796117206,0.153464217908007,0,0,-20.6771374326406,0,-11.3524255879523,11.3524255879523,1,9,0.31434896513352
-49.4399918140256,-395.519934512204,-1540.98009355399,2.94950015592326,478.118645630575,0.31218323182683,-1,83,8,0,0,0,-60,0,-34,34,0,-0.125,0.275000000000002,0,-0.2,0,0,0.0999999999999979,0,-0.0500000000000007,0.0500000000000007,1,-0.43718323182683,26.1862082416269,2.49746585461464,-0.2,0,0,-18.6309939096098,0,-10.6642298821122,10.6642298821122,1,8,0.285921304615619
-45.4533241511821,-409.079917360639,-1891.44012317942,-14.5880018364302,465.116279069766,0.238193253760537,-1,109,9,0,0,0,-79,0,-44,44,0,-0.111111111111111,2.01111111111111,0,-0.2,0,0,-1.17777777777778,0,-0.688888888888889,0.688888888888889,1,-0.349304364871648,27.9741757710096,2.14373928384483,-0.2,0,0,-19.9950448248602,0,-11.1693920543525,11.1693920543525,1,9,0.318092535579791
-42.2639900209073,-422.639900209073,-2241.90015280485,-28.618003430313,465.116279069768,0.19470014090206,-1,135,10,0,0,0,-98,0,-54,54,0,-0.1,3.4,0,-0.2,0,0,-2.2,0,-1.2,1.2,1,-0.29470014090206,29.6845190217781,1.9470014090206,-0.2,0,0,-21.2806138084019,0,-11.7138076087112,11.7138076087112,1,10,0.339327968062403
-52.7828497921862,-369.479948545304,-1245.42007016549,-5.61123025348436,465.116279069768,0.368955872660076,-1,63,7,0,0,0,-45,0,-26,26,0,-0.161538461538462,0.0769230769230772,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.530494334198537,23.3211430545079,2.71346033938976,-0.2,0,0,-16.2722450389342,0,-9.59285268916197,9.59285268916197,1,7,0.269290609998633
-47.8799914242173,-383.039931393738,-1595.88009979093,-3.91300062369336,465.116279069768,0.288996196209537,-1,89,8,0,0,0,-64,0,-36,36,0,-0.125,1.025,0,-0.2,0,0,-0.400000000000002,0,-0.300000000000001,0.300000000000001,1,-0.413996196209537,26.7456614626488,2.31196956967629,-0.2,0,0,-18.8957565574104,0,-10.7038630635433,10.7038630635433,1,8,0.301935141299543
-44.0666571380192,-396.599914242173,-1946.34012941636,-20.6880025294228,465.116279069767,0.228340499085129,-1,115,9,0,0,0,-83,0,-46,46,0,-0.111111111111111,2.67777777777778,0,-0.2,0,0,-1.62222222222222,0,-0.911111111111111,0.911111111111111,1,-0.33945161019624,28.9369351725676,2.05506449176616,-0.2,0,0,-20.5744836462879,0,-11.414774069027,11.414774069027,1,9,0.327325332311362
-50.9999922038339,-509.999922038339,-1857.60010914633,0.524000389808354,467.4262450932,0.251911185393965,-1,94,10,0,0,0,-70,0,-40,40,0,-0.105,-0.23,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.356911185393965,23.4496514270327,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,10,0.280181748547943
-55.1599932433227,-330.959959459936,-1004.76005301393,-15.4275992827528,465.116279069768,0.4475582786538,-1,49,6,0,0,0,-34,0,-20,20,0,-0.21,0.19,0.26,-0.2,0,0,0.459999999999999,0,0,0,1,-0.6575582786538,22.1203556540362,2.9453496719228,-0.2,0,0,-14.7569814742292,0,-8.951165573076,8.951165573076,1,6,0.253462958458798
-49.7519918919872,-497.519918919872,-1912.50011538326,4.32200031184664,484.169077632157,0.255420156064207,-1,100,10,0,0,0,-74,0,-42,42,0,-0.1,-0.0999999999999974,0,-0.2,0,0,0.199999999999998,0,-8.88178419700125e-16,8.88178419700125e-16,1,-0.355420156064207,25.4420156064207,2.55420156064207,-0.2,0,0,-18.7010915487513,0,-10.7276465546967,10.7276465546967,1,10,0.281357143914863
-62.9399937630671,-314.699968815336,-786.360034303131,-40.3359984407666,465.116279069768,0.540185490232142,-1,33,5,0,0,1,-22,0,-14,14,0,-0.3,-0.2,0.5,-0.2,0,0.3,0.999999999999999,0,0,0,1,-0.840185490232142,17.6261211776607,3.20092745116071,-0.2,0,0.840185490232142,-10.8840807851071,0,-7.56259686324999,7.56259686324999,1,5,0.238042673106316
-52.3866592169968,-471.479932952971,-1616.94009199476,-4.16764657270973,465.116279069768,0.285074651051792,-1,80,9,0,0,0,-59,0,-34,34,0,-0.123529411764706,-0.217647058823529,0.111764705882353,-0.2,0,0,0.311764705882352,0,0,0,1,-0.408604062816498,22.5883250253198,2.67743656534848,-0.2,0,0,-16.5076397061734,0,-9.69253813576092,9.69253813576092,1,9,0.271928551921939
-53.0799927235783,-318.47995634147,-1059.66005925086,-6.72672673408312,465.116279069768,0.432581702343059,-1,55,6,0,0,0,-38,0,-22,22,0,-0.190909090909091,0.4,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,0,1,-0.623490793252149,24.1919936288682,2.7409447595129,-0.2,0,0,-16.0926501435817,0,-9.51679745154729,9.51679745154729,1,6,0.267312153556154
-48.5039915801406,-485.039915801406,-1967.40012162019,-1.16800031184664,465.116279069768,0.235817957750176,-1,106,10,0,0,0,-78,0,-44,44,0,-0.1,0.500000000000003,0,-0.2,0,0,-0.200000000000003,0,-0.200000000000001,0.200000000000001,1,-0.335817957750176,25.4967035215187,2.35817957750176,-0.2,0,0,-18.5938007045137,0,-10.5759901410077,10.5759901410077,1,10,0.297780382770336
-56.1599906446006,-280.799953223003,-1055.6700608101,-15.5620003118466,465.116279069767,0.425847331895482,-1,56,5,0,1,0,-39,0,-23,23,0,-0.2,1.1,0,-0.2,0.2,0,-0.200000000000004,0,-0.400000000000001,0.400000000000001,1,-0.625847331895482,24.947450586147,2.12923665947741,-0.2,0.625847331895482,0,-16.8080459439238,0,-10.1944886335961,10.1944886335961,1,5,0.319566753435326
-65.8885643006481,-461.219950104537,-1202.40005301393,-33.9770891797595,465.116279069766,0.358565511378111,-1,46,7,0,0,3,-34,0,-22,22,0,-0.190909090909091,-1.31818181818182,0.336363636363636,-0.2,0,0.572727272727273,1.10909090909091,0,0,0,1,-0.549474602287202,15.1758317052113,2.84632221601041,-0.2,0,1.64842380686161,-11.0821364777649,0,-7.88844125031845,7.88844125031845,1,7,0.259988618695926
-55.6799933732588,-445.43994698607,-1321.38006860626,-17.8816915400697,465.116279069767,0.338460219096102,-1,60,8,0,0,0,-44,0,-26,26,0,-0.161538461538462,-0.407692307692307,0.292307692307692,-0.2,0,0,0.492307692307691,0,0,0,1,-0.499998680634563,19.8999208380738,2.99998944507651,-0.2,0,0,-14.3999419479208,0,-8.79996569649865,8.79996569649865,1,8,0.250000659684459
-50.9999922038339,-458.999929834505,-1671.84009823169,0.52400038980824,467.4262450932,0.279901317104405,-1,86,9,0,0,0,-63,0,-36,36,0,-0.116666666666667,-0.066666666666666,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.396567983771072,24.0048466043122,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,9,0.280181748547943
-47.255991268294,-472.55991268294,-2022.30012785712,-6.65800093553997,465.116279069767,0.226701403920703,-1,112,10,0,0,0,-82,0,-46,46,0,-0.1,1.1,0,-0.2,0,0,-0.600000000000003,0,-0.400000000000001,0.400000000000001,1,-0.326701403920703,26.4905572391188,2.26701403920703,-0.2,0,0,-19.1895151214977,0,-10.8282645803523,10.8282645803523,1,10,0.30608989982875
-44.1927177755794,-486.119895531374,-2372.76015748255,-20.1334570118779,465.116279069768,0.187538053795545,-1,138,11,0,0,0,-101,0,-56,56,0,-0.0909090909090909,2.44545454545455,0,-0.2,0,0,-1.58181818181818,0,-0.890909090909092,0.890909090909092,1,-0.278447144704636,28.3257059692398,2.062918591751,-0.2,0,0,-20.5231616151683,0,-11.3930401034596,11.3930401034596,1,11,0.326485987153946
-54.1199929834505,-432.959943867604,-1376.28007484319,-10.8699993763066,465.116279069768,0.33005366276571,-1,66,8,0,0,0,-48,0,-28,28,0,-0.15,-0.2,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,-0.48005366276571,21.5835417425368,2.84042930212568,-0.2,0,0,-15.4425758127541,0,-9.24150255743987,9.24150255743987,1,8,0.260387556007476
-49.6133251906709,-446.519926716038,-1726.74010446862,3.71200024254727,481.479996742567,0.280987275230063,-1,92,9,0,0,0,-67,0,-38,38,0,-0.111111111111111,0.122222222222225,0,-0.2,0,0,0.155555555555553,0,-0.022222222222223,0.022222222222223,1,-0.392098386341174,25.973051543388,2.52888547707057,-0.2,0,0,-18.6705918848587,0,-10.6997386809646,10.6997386809646,1,9,0.28337558883609
-46.0079909564473,-460.079909564473,-2077.20013409406,-12.1480015592332,465.116279069766,0.218066747674311,-1,118,10,0,0,0,-86,0,-48,48,0,-0.1,1.7,0,-0.2,0,0,-1,0,-0.600000000000001,0.600000000000001,1,-0.318066747674311,27.4318762255687,2.18066747674311,-0.2,0,0,-19.7537402999907,0,-11.0672038883669,11.0672038883669,1,10,0.314399416887164
-43.058172037537,-473.639892412907,-2427.66016371949,-25.124366669781,465.116279069767,0.181241146918135,-1,144,11,0,0,0,-105,0,-58,58,0,-0.0909090909090909,2.99090909090909,0,-0.2,0,0,-1.94545454545455,0,-1.07272727272727,1.07272727272727,1,-0.272150237827225,29.0896342471205,1.99365261609948,-0.2,0,0,-20.9757749718587,0,-11.5847137939791,11.5847137939791,1,11,0.334040093570686
-40.5999896051118,-487.199875261342,-2778.12019334492,-35.9380042619041,465.116279069768,0.154485135609314,-1,170,12,0,0,0,-124,0,-68,68,0,-0.0833333333333333,4.06666666666667,0,-0.2,0,0,-2.73333333333333,0,-1.46666666666667,1.46666666666667,1,-0.237818468942647,30.3291397202501,1.85382162731177,-0.2,0,0,-21.8894901488883,0,-11.9716558881,11.9716558881,1,12,0.350407324140288
-59.5285647461433,-416.699953223003,-1157.8800561324,-25.4778170478303,465.116279069767,0.379692576699556,-1,50,7,0,0,1,-36,0,-22,22,0,-0.190909090909091,-0.554545454545454,0.336363636363636,-0.2,0,0.190909090909091,0.727272727272726,0,0,0,1,-0.570601667608647,18.4300833804324,2.99421167326053,-0.2,0,0.570601667608647,-12.9416600339113,0,-8.35323668739024,8.35323668739024,1,7,0.250362294691229
-48.226658177508,-434.039923597572,-1781.64011070555,-2.38800045044526,465.116279069769,0.259720397985469,-1,98,9,0,0,0,-71,0,-40,40,0,-0.111111111111111,0.788888888888892,0,-0.2,0,0,-0.288888888888892,0,-0.244444444444445,0.244444444444445,1,-0.37083150909658,26.2414878914649,2.33748358186922,-0.2,0,0,-18.7290371458572,0,-10.6332603638632,10.6332603638632,1,9,0.29962694211665
-45.4349925936422,-363.479940749137,-1441.56009043553,6.36724998050956,493.185210703695,0.34653599527251,-1,76,8,2,0,0,-58,0,-32,32,0,-0.13125,-0.125,0.0499999999999998,0.0624999999999999,0,0,-0.0125000000000008,0,0,0,1,-0.47778599527251,26.2117356407107,2.82228796218008,0.755571990545019,0,0,-20.1115877258056,0,-11.0891518487203,11.0891518487203,1,8,0.261623407209132
-44.7599906446006,-447.599906446006,-2132.10014033099,-17.6380021829265,465.116279069768,0.209876763488873,-1,124,10,0,0,0,-90,0,-50,50,0,-0.1,2.3,0,-0.2,0,0,-1.4,0,-0.800000000000001,0.800000000000001,1,-0.309876763488873,28.3247186726203,2.09876763488873,-0.2,0,0,-20.2889087139986,0,-11.2938381744437,11.2938381744437,1,10,0.322708933945577
